,Team,MostSimilar,SimilarityMeasure
0,Manchester City_21_22,Liverpool_18_19,4.898979485566356
1,Liverpool_21_22,Manchester City_18_19,2.8284271247461903
2,Chelsea_21_22,Tottenham_16_17,3.0
3,Arsenal_21_22,Chelsea_18_19,2.23606797749979
4,Manchester Utd_21_22,Liverpool_20_21,4.242640687119285
5,Tottenham_21_22,West Ham_20_21,1.0
6,West Ham_21_22,Liverpool_20_21,2.23606797749979
7,Wolves_21_22,Sheffield Utd_19_20,5.0990195135927845
8,Southampton_21_22,Everton_19_20,1.4142135623730951
9,Aston Villa_21_22,Everton_18_19,1.4142135623730951
10,Brighton_21_22,Wolves_20_21,3.7416573867739413
11,Leicester City_21_22,Bournemouth_18_19,3.605551275463989
12,Crystal Palace_21_22,Everton_18_19,4.123105625617661
13,Newcastle Utd_21_22,Burnley_18_19,1.7320508075688772
14,Brentford_21_22,Leicester City_16_17,2.0
15,Leeds United_21_22,Swansea City_16_17,4.358898943540674
16,Everton_21_22,West Ham_19_20,3.4641016151377544
17,Burnley_21_22,West Brom_17_18,1.7320508075688772
18,Watford_21_22,Sunderland_16_17,1.4142135623730951
19,Norwich City_21_22,West Brom_20_21,5.0
