Team,MP,W,D,L,Pts,GF,GA,GD,rank
Manchester City_21_22,27,21,3,3,66,64,17,47,1
Liverpool_21_22,27,19,6,2,63,71,20,51,2
Chelsea_21_22,27,16,8,3,56,56,19,37,3
Arsenal_21_22,27,16,3,8,51,43,31,12,4
Manchester Utd_21_22,27,13,8,6,47,44,34,10,5
West Ham_21_22,27,13,6,8,45,46,34,12,6
Tottenham_21_22,27,14,3,10,45,42,35,7,7
Wolves_21_22,27,12,4,11,40,24,23,1,8
Aston Villa_21_22,27,11,3,13,36,40,37,3,9
Leicester City_21_22,27,10,6,11,36,42,46,-4,10
Southampton_21_22,27,8,11,8,35,34,41,-7,11
Brighton_21_22,27,7,12,8,33,26,32,-6,12
Newcastle Utd_21_22,27,7,10,10,31,32,47,-15,13
Crystal Palace_21_22,27,6,12,9,30,37,38,-1,14
Everton_21_22,27,7,4,16,25,29,47,-18,15
Brentford_21_22,27,6,6,15,24,27,44,-17,16
Leeds United_21_22,27,5,8,14,23,29,61,-32,17
Burnley_21_22,27,3,12,12,21,22,38,-16,18
Watford_21_22,27,5,4,18,19,27,50,-23,19
Norwich City_21_22,27,4,5,18,17,16,58,-42,20
